 Catalogue of Wide-Field Plate Archives (version 5.7 January 2012)																															
WFPDB Instrument Identifier		Original Name of the Instrument	Location of the Archive		Observatory			Marsden's No.	Time Zone	East Longitude	Latitude	Altitude	Clear Aperture		Mirror Diameter	Focal Length	Scale	Type	Field Size	Years of Operation		P/F	Number of Direct Plates		Orig.Plate Number from.. to..	Arch. Type	Number of Sp. Plates	Arch.  Type	Quality	Astronomer in Charge	
			Site	Country	Name	Site	Country		h	o     '  	o     '  	m	m		m	m	"""/mm"		o	from	to		  								
1			2	3	4	5	6	7	8	9	10	11	12		13	14	15	16	17	18	19	20	21		22	23	24	25	26	27	
AAO390	**		Coonabarabran	Australia	Anglo–Australian Obs.	Coonabarabran	Australia	413	10	149 03.7	–31 16.4	1149			3.90	12.87	16	Rfl	1.3	1974			2424			C			A	S.Lee	
ABA020			Kyiv	Ukraine	Abastumani	Mt. Kanobili	Georgia	119	4	42 49.5	41 45.3	1580	2x	0.20		1.00	206	Ast	13.7	1990	1990		30			TC				O.Yizhakevych	
ABA020			Mt. Kanobili	Georgia	Abastumani	Mt. Kanobili	Georgia	119	4	42 49.5	41 45.3	1580	2x	0.20		1.00	206	Ast	13.7	1937			1396			T				D.Chipashvili	
ABA039			Kyiv	Ukraine	Abastumani	Mt. Kanobili	Georgia	119	4	42 49.5	41 45.3	1580		0.39	0.44	0.62	330	Sch	8.2	1987	1987	F	20			C				L.Pakuliak	
ABA039			Mt. Kanobili	Georgia	Abastumani	Mt. Kanobili	Georgia	119	4	42 49.5	41 45.3	1580		0.39	0.44	0.62	330	Sch	8.2	1938		F	30398			T				D.Chipashvili	
ABA040A			Mt. Kanobili	Georgia	Abastumani	Mt. Kanobili	Georgia	119	4	42 49.5	41 45.3	1580		0.40		7.60	27	Rfr	1.8	1937			7056			T				D.Chipashvili	
ABA040B			Mt. Kanobili	Georgia	Abastumani	Mt. Kanobili	Georgia	119	4	42 49.5	41 45.3	1580	2x	0.40		3.00	69	Ast	5.8	1978			4400			T				D.Chipashvili	
ABA070			Mt. Kanobili	Georgia	Abastumani	Mt. Kanobili	Georgia	119	4	42 49.5	41 45.3	1580		0.70	1.00	2.10	98	Men	4.9	1955			18446			T	1747	T	A	D.Chipashvili	
ALG033	**		Bouzareah	Algeria	Alger Obs.	Bouzareah	Algeria	008	1	03 02.1	36 48.1	345		0.33		3.43	60	Ast	2.5	1891	1975		5164	 		C				L.Bounatiro	
AOT020		Zeiss Astrograph	Turin	Italy	Astr.Obs.Turin	Pino Torinese	Italy	022	1	07 46.5	45 02.3	618		0.20		1.14	180	Ast	11.0	1925	1988		3000	:		TC				B.Bucciarelli	
